mean,std
0.33291775,0.6636724
0.38350013,0.63899934
0.32883972,0.5386291
0.36673194,0.60442525
0.35002604,0.6185199
0.38485107,0.6095249
0.38004678,0.56690043
0.31826645,0.7237697
0.34223714,0.6566774
0.35730365,0.6422016
0.34306008,0.54935056
0.34815344,0.68558204
0.3393968,0.6746723
0.30361915,0.7552891
0.38463715,0.62746584
0.37584925,0.5920542
0.36614993,0.61245275
0.31679595,0.69261736
0.32321653,0.7491139
0.34748566,0.6096883
0.31096792,0.7269809
0.3784879,0.59031695
0.36173925,0.6655347
0.36481753,0.63395
0.34924147,0.62091583
0.31156105,0.7582446
0.34390295,0.54906106
0.3735844,0.6306134
0.37045825,0.63981193
0.35070983,0.6521919
0.33880448,0.6324101
0.34433427,0.7239826
0.38345203,0.61250913
0.32605034,0.6957881
0.3230117,0.7159366
0.36518207,0.62045527
0.37975234,0.6122823
0.32082647,0.74607635
0.34657177,0.64863765
0.35673696,0.5792924
0.38578296,0.6387138
0.35499737,0.6328963
0.33836302,0.5499423
0.3493227,0.5725299
0.35972866,0.63191515
0.37220916,0.6054247
0.35033864,0.64137775
0.3617348,0.62818843
0.34805366,0.6654849
0.37325123,0.6173731
0.35006878,0.67890316
0.3807292,0.60608727
0.3793905,0.62108576
0.33280084,0.68585384
0.36186087,0.6499704
0.35448492,0.6070831
0.3735688,0.6248572
0.36627194,0.6249779
0.351898,0.5540531
0.31589496,0.69238347
0.36676314,0.599134
0.32466158,0.7330282
0.401775,0.57668954
0.3393465,0.68322074
0.34261954,0.6743323
0.37391996,0.643019
0.34522775,0.6617851
0.37983435,0.62219214
0.3422765,0.67331624
0.3837371,0.6241414
0.3143101,0.727885
0.33280364,0.65117455
0.3097406,0.759453
0.33943695,0.64073974
0.39945534,0.5800291
0.3608126,0.663412
0.36045042,0.6132066
0.3732515,0.6639925
0.37063625,0.6387128
0.3352261,0.7011535
0.38325363,0.6015597
0.35036406,0.6397856
0.3473557,0.6471758
0.38237593,0.61377347
0.35949323,0.6248737
0.37058794,0.5894434
0.34974855,0.64753246
0.36215812,0.6618014
0.35402194,0.6346916
0.30663764,0.75244766
0.33122078,0.72898114
0.3705464,0.63764197
0.29880822,0.74258864
0.3518406,0.6518579
0.34792092,0.60833853
0.37770388,0.62241215
0.33082238,0.6681129
0.3304104,0.7448276
0.35381255,0.6935153
0.37156188,0.59649324
0.3814146,0.5981632
0.3636631,0.60282075
0.36844468,0.6317671
0.36545616,0.65558386
0.31830162,0.7049915
0.3633952,0.6510913
0.381816,0.638877
0.35809478,0.65096515
0.38489673,0.5724755
0.38670748,0.6136804
0.38146073,0.6495258
0.34885755,0.6280051
0.3648277,0.5657843
0.35315365,0.6441357
0.38338056,0.6138659
0.35145196,0.6461129
0.3364631,0.70991194
0.40806246,0.6261762
0.382484,0.6078358
0.34968323,0.68898857
0.38696435,0.6429546
0.33380187,0.6826202
0.3692888,0.6863471
0.36005968,0.62058866
0.3495043,0.6457205
0.3647991,0.6459543
0.34051386,0.6894202
0.33187807,0.7489056
0.34822467,0.6521764
0.35897905,0.59982127
0.34228006,0.63258964
0.3774985,0.5879054
0.3582334,0.60226846
0.3312343,0.7127381
0.3654938,0.5848112
0.39049128,0.6238687
0.3610075,0.58350664
0.3478974,0.62041193
0.35978386,0.57158047
0.37082878,0.59684134
0.31111327,0.7540282
0.33740732,0.6324085
0.3848335,0.61543286
0.34746122,0.62961763
0.35782796,0.57081866
0.3997347,0.6371083
0.39459166,0.63858795
0.34099147,0.6699509
0.3637262,0.643993
0.38354728,0.61328775
0.3422922,0.6786583
0.361128,0.57438374
0.3468928,0.56002235
0.39610332,0.61643976
0.37019038,0.6158874
0.34197125,0.6579598
0.3159143,0.4903151
0.34738073,0.67093104
0.387595,0.60120595
0.34798974,0.6573331
0.3787804,0.62050724
0.35506812,0.64025474
0.37613922,0.62926483
0.37854612,0.6191026
0.34325135,0.6562661
0.3652576,0.6392583
0.32437253,0.73270357
0.3555539,0.63527954
0.3594177,0.5665243
0.32561523,0.6867745
0.35638517,0.64945525
0.3724289,0.6410469
0.35258627,0.6399432
0.36592078,0.5612121
0.3715965,0.62233955
0.39557925,0.6009778
0.38504848,0.6410551
0.38010186,0.58403075
0.30716574,0.74485105
0.37262768,0.5958445
0.34795883,0.66033244
0.36724767,0.60611075
0.33573025,0.5438467
0.33897543,0.6937737
0.38811302,0.6088865
0.36983916,0.55852634
0.3025115,0.7140581
0.36744672,0.60996526
0.3390483,0.6909577
0.30781695,0.7846692
0.35133103,0.6486779
0.31884652,0.7756568
0.34738383,0.6343868
0.3560931,0.62370986
0.3408087,0.6916639
0.29328975,0.7752993
0.3518634,0.60266685
0.31295788,0.76524794
0.38495106,0.59281933
0.3780783,0.6180467
0.35375524,0.5562234
0.36702988,0.66253114
0.32231683,0.736218
0.33355808,0.715049
0.38671917,0.6102584
0.3581627,0.61132985
0.35207847,0.5508155
0.33846438,0.7035868
0.32242185,0.7132532
0.33530882,0.69116753
0.38353622,0.5939286
0.3790427,0.62394094
0.36350337,0.59524
0.34808654,0.64511275
0.37602752,0.630055
0.33301383,0.6852428
0.36833674,0.599647
0.35143164,0.5811331
0.32765743,0.7560881
0.36461285,0.61993104
0.35381946,0.69282866
0.3345609,0.7356371
0.34937173,0.5727911
0.34515277,0.651482
0.34719843,0.6554588
0.3573017,0.7218488
0.38433492,0.5785124
0.34572887,0.5628959
0.39158446,0.63979095
0.36444652,0.66993153
0.37587798,0.6091476
0.34748554,0.6749702
0.33119246,0.74020773
0.34231773,0.685651
0.3515188,0.6411404
0.3617269,0.6592733
0.33522278,0.69713724
0.3386048,0.66044515
0.3692746,0.58723664
0.3472735,0.67293346
0.35066342,0.67605096
0.3609432,0.62207985
0.35101378,0.6632358
0.32557487,0.7439794
0.34103152,0.59646916
0.36241832,0.64210486
0.39999396,0.6401369
0.35831764,0.6417192
0.33269304,0.6683768
0.37316093,0.6086085
0.3576619,0.61741745
0.37069288,0.6469087
0.361828,0.64335257
0.36232072,0.67001766
0.3414645,0.6388188
0.33698663,0.66694325
